year;name;type;category;place;canton;tw_account;tw_url;tw_parse;tw_favorites;tw_followers;tw_friends;tw_statuses;fb_account;fb_url;fb_favorites;fb_followers
2016;www.hypo-scout.ch;Fintech;Deposit & Lending;Zürich;ZH;Hyposcout AG;https://twitter.com/Hyposcout_AG;Hyposcout_AG;;;;;Hyposcout;https://www.facebook.com/Hyposcout/;652;664
2017;www.hypotheko.ch;Fintech;Deposit & Lending;Basel-Country;BL;Hypotheko;https://twitter.com/hypotheko;hypotheko;;;;;Hypotheko;https://www.facebook.com/hypotheko/;73;73
2015;www.lend.ch;Fintech;Deposit & Lending;Zürich;ZH;LEND;https://twitter.com/LEND_CH;LEND_CH;;;;;LEND;https://www.facebook.com/lend.ch/;466;476
2016;www.loanboox.ch;Fintech;Deposit & Lending;Zürich;ZH;Loanboox;https://twitter.com/loanboox;loanboox;;;;;loanboox;https://www.facebook.com/loanboox/;268;273
2015;www.swisspeers.ch;Fintech;Deposit & Lending;Zürich;ZH;swisspeers;https://twitter.com/swisspeers;swisspeers;;;;;Swisspeers;https://www.facebook.com/swisspeers.ch/;864;886
2017;www.bancor.network;Fintech;Distributed Ledger Technology;Zug;ZG;bancor;https://twitter.com/bancor?lang=de;bancor;;;;;Bancor;https://www.facebook.com/bancor/;66464;66912
2017;www.coreledger.net;Fintech;Distributed Ledger Technology;Zug;ZG;CoreLedger;https://twitter.com/CoreLedger;CoreLedger;;;;;Coreledger AG;https://www.facebook.com/coreledger.ag.1;0;0
2017;www.cryptofinance.ch;Fintech;Distributed Ledger Technology;Zug;ZG;Crypto Finance;https://twitter.com/CryptoFinanceAG;CryptoFinanceAG;;;;;Crypto Finance AG;https://www.facebook.com/CryptoFinanceAG/;567;673
2015;www.digitalbitbox.com;Fintech;Distributed Ledger Technology;Basel-Country;BL;BitBox | ShiftCrypto;https://twitter.com/DigitalBitbox;DigitalBitbox;;;;;Digital Bitbox;https://www.facebook.com/Digital-Bitbox-130791914294135/;36;38
2015;www.iprotus.com;Fintech;Distributed Ledger Technology;Zug;ZG;iprotus;https://twitter.com/i_protus;i_protus;;;;;iprotus;https://www.facebook.com/iprotus/;75;72
2013;www.lykke.com;Fintech;Distributed Ledger Technology;Zug;ZG;Lykke;https://twitter.com/lykke;lykke;;;;;Lykke;https://www.facebook.com/LykkeCity/;1257;1397
2002;www.payment21.com;Fintech;Distributed Ledger Technology;St. Gallen;SG;Payment21®;https://twitter.com/Payment21_XBT;Payment21_XBT;;;;;Payment21;https://www.facebook.com/Payment21/;76;85
2015;www.breadapp.com;Fintech;Distributed Ledger Technology;Zürich;ZH;BRD;https://twitter.com/breadapp;breadapp;;;;;Breadwallet - BRD;https://www.facebook.com/BreadApp/;2916;3264
2014;www.shapeshift.io;Fintech;Distributed Ledger Technology;Zug;ZG;ShapeShift.io;https://twitter.com/ShapeShift_io;ShapeShift_io;;;;;ShapeShift.io;https://www.facebook.com/shapeshiftexchange/;48251;48889
2017;jibrel.network;Fintech;Distributed Ledger Technology;Zug;ZG;Jibrel Network;https://twitter.com/JibrelNetwork;JibrelNetwork;;;;;Jibrel Network;https://www.facebook.com/jibrelnetwork/;5408;5553
2013;www.bitcoinsuisse.ch;Fintech;Distributed Ledger Technology;Zug;ZG;Bitcoin Suisse;https://twitter.com/BitcoinSuisseAG;BitcoinSuisseAG;;;;;Bitcoin Suisse AG;https://www.facebook.com/BitcoinSuisse/;4713;4899
2015;www.3rd-eyes.com;Fintech;Investment Management;Zürich;ZH;3rd-eyes.com;https://twitter.com/inside_3rd_eyes;inside_3rd_eyes;;;;;3rd-eyes;https://www.facebook.com/3rdeyesnavigationsystem/;22;24
2012;www.aaaccell.ch;Fintech;Investment Management;Zürich;ZH;AAAccell Ltd;https://twitter.com/AAAccell1;AAAccell1;;;;;NA;NA;NA;NA
2014;www.bbanalytics.biz;Fintech;Investment Management;Zug;ZG;B&B Analytics;https://twitter.com/BnBAnalytics;BnBAnalytics;;;;;NA;NA;NA;NA
2016;www.clearminds.ch;Fintech;Investment Management;Basel;BS;Clear Minds;https://twitter.com/ClearMindsInv;ClearMindsInv;;;;;Clear Minds;https://www.facebook.com/clearminds.ch/;114;116
2015;www.descartes-finance.com;Fintech;Investment Management;Zug;ZG;Descartes Finance;https://twitter.com/DescartesFin;DescartesFin;;;;;Descartes Finance;https://www.facebook.com/descartesfinance/;51;52
2011;www.investory.ch;Fintech;Investment Management;Zürich;ZH;investory.io;https://twitter.com/investory_io;investory_io;;;;;Investory;https://www.facebook.com/investory.io/;298;307
2014;www.purevaluemetrics.com;Fintech;Investment Management;Schwyz;SZ;PureValueMetrics;https://twitter.com/PureValueMetric;PureValueMetric;;;;;NA;NA;NA;NA
2016;www.selmafinance.ch;Fintech;Investment Management;Schwyz;SZ;Selma;https://twitter.com/SelmaFinance;SelmaFinance;;;;;Selma Finance;https://www.facebook.com/selma.finance/;434;447
2015;www.simplewealth.ch;Fintech;Investment Management;Zürich;ZH;Simplewealth;https://twitter.com/SimpleWealth;SimpleWealth;;;;;Simplewealth;https://www.facebook.com/Simplewealth/;128;134
2015;www.smartmoneymatch.com;Fintech;Investment Management;Zug;ZG;SmartMoneyMatch;https://twitter.com/SmartMoneyMatch;SmartMoneyMatch;;;;;SmartMoneyMatch;https://www.facebook.com/SmartMoneyMatch;213;215
2003;www.spectravest.ch;Fintech;Investment Management;Berne;BE;Spectravest;https://twitter.com/spectravest;spectravest;;;;;Spectravest;https://www.facebook.com/spectravest/;56;57
2013;www.truewealth.ch;Fintech;Investment Management;Zürich;ZH;True Wealth;https://twitter.com/True_Wealth_;True_Wealth_;;;;;True Wealth;https://www.facebook.com/truewealthag/;1622;1663
2017;www.visionand.ch;Fintech;Investment Management;Zug;ZG;vision&;https://twitter.com/visionandch;visionandch;;;;;NA;NA;NA;NA
2016;www.werthstein.com;Fintech;Investment Management;Zürich;ZH;Werthstein;https://twitter.com/werthstein;werthstein;;;;;Werthstein;https://www.facebook.com/werthstein/;577;593
2015;www.crowdhouse.ch;Fintech;Investment Management;Zürich;ZH;crowdhouse.ch;https://twitter.com/crowdhouse_ch;crowdhouse_ch;;;;;crowdhouse.ch;https://www.facebook.com/crowdhouseCH/;2861;2992
2017;www.ecollect.ch;Fintech;Payment;Schwyz;SZ;eCollect;https://twitter.com/ecollect;ecollect;;;;;eCollect;https://www.facebook.com/ecollect/;128;126
2013;www.muume.com;Fintech;Payment;Zug;ZG;MUUME;https://twitter.com/MUUME_digital;MUUME_digital;;;;;MUUME;https://www.facebook.com/MUUMEdigital/;163;166
2014;www.sweepay.ch;Fintech;Payment;Zug;ZG;SweePay;https://twitter.com/SweePay_ltd;SweePay_ltd;;;;;NA;NA;NA;NA
2014;www.twint.ch;Fintech;Payment;Berne;BE;TWINT;https://twitter.com/TWINT_AG;TWINT_AG;;;;;TWINT;https://www.facebook.com/twintwallet/;4795;4799
